bbl,bin,address_or_label,zipcode,residential_use_type,land_use,building_class,residential_units,residential_capacity_units,total_units,residential_floor_area,estimated_household_capacity,under5_capacity_signal,preschool_age_capacity_signal,hgl_building_opportunity_score,capacity_model_confidence,capacity_model_method,non_residential_flag,mixed_use_flag
1005880058,1010041,96 CHRISTOPHER STREET,10014,Mixed-use,Residential multi-family walk-up,C5,6,6,7,3320.0,6,0.268,0.268,3.72,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1006190069,1011166,228 WEST 4 STREET,10014,Mixed-use,Mixed residential/commercial,C7,16,16,17,8097.0,16,0.714,0.714,4.58,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1006190033,1011145,330 BLEECKER STREET,10014,Mixed-use,Mixed residential/commercial,D6,200,200,207,126785.0,200,8.921,8.921,8.87,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1006190038,1076912,105 CHRISTOPHER STREET,10014,Mixed-use,Residential multi-family walk-up,C6,10,10,12,5075.0,10,0.446,0.446,4.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1006190024,1011143,220 WEST 10 STREET,10014,Residential,Residential multi-family walk-up,C4,22,22,22,11085.0,22,0.981,0.981,4.11,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1006190067,1078175,192 WEST 10 STREET,10014,Mixed-use,Residential multi-family walk-up,C4,27,27,27,25455.0,27,1.204,1.204,5.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005910060,1010203,59 GROVE STREET,10014,Mixed-use,Mixed residential/commercial,S2,2,2,3,1192.0,2,0.089,0.089,2.97,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005880023,1010018,308 BLEECKER STREET,10014,Mixed-use,Mixed residential/commercial,S3,3,3,4,2400.0,3,0.134,0.134,3.22,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1006190006,1011135,512 HUDSON STREET,10014,Mixed-use,Mixed residential/commercial,S2,2,2,3,1761.0,2,0.089,0.089,2.97,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005880012,1010010,30 GROVE STREET,10014,Residential,Residential one/two family,A4,1,1,1,3307.0,1,0.045,0.045,1.83,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1006200078,1011221,203 WEST 10 STREET,10014,Residential,Residential multi-family elevator,D1,30,30,30,15084.0,30,1.338,1.338,4.46,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1006200068,1078179,236 WEST 4 STREET,10014,Residential,Residential multi-family walk-up,C4,32,32,32,21895.0,32,1.427,1.427,4.54,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1005850049,1009876,500 HUDSON STREET,10014,Mixed-use,Mixed residential/commercial,C7,9,9,10,4161.0,9,0.401,0.401,4.05,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005850047,1009874,496 HUDSON STREET,10014,Mixed-use,Mixed residential/commercial,C7,9,9,10,3756.0,9,0.401,0.401,4.05,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1005880074,1010051,31 GROVE STREET,10014,Residential,Residential one/two family,A5,1,1,1,3792.0,1,0.045,0.045,1.83,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1006200033,1011192,229 WEST 10 STREET,10014,Public facility/institution,Public facility/institution,Y2,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1005910006,1010181,309 BLEECKER STREET,10014,Commercial/office,Commercial/office,K1,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1006190005,1011134,510 HUDSON STREET,10014,Mixed-use,Mixed residential/commercial,S2,2,2,3,2988.0,2,0.089,0.089,2.97,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500014,1016243,924 BROADWAY,10010,Commercial/office,Commercial/office,O5,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008200029,1015447,15 WEST 18 STREET,10011,Mixed-use,Commercial/office,O6,9,9,16,19262.0,9,0.304,0.304,3.62,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500023,1016248,29 EAST 21 STREET,10010,Commercial/office,Commercial/office,O5,0,0,2,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008210027,1015471,21 WEST 19 STREET,10011,Mixed-use,Mixed residential/commercial,D7,6,6,7,9825.0,6,0.203,0.203,3.3,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008480007,1016159,7 EAST 19 STREET,10003,Mixed-use,Mixed residential/commercial,S4,4,4,5,6924.0,4,0.224,0.224,3.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008760014,1017952,5 GRAMERCY PARK WEST,10003,Residential,Residential one/two family,A7,1,1,1,7448.0,1,0.056,0.056,1.54,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008210039,1015476,144 5 AVENUE,10011,Mixed-use,Mixed residential/commercial,K4,1,1,5,1900.0,1,0.034,0.034,2.23,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008220015,1015491,27 WEST 20 STREET,10011,Commercial/office,Commercial/office,O6,0,0,62,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500004,1016240,153 5 AVENUE,10010,Commercial/office,Commercial/office,O6,0,0,6,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500011,1080765,929 BROADWAY,10010,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,8,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008760012,1017950,3 GRAMERCY PARK WEST,10003,Residential,Residential multi-family walk-up,C6,6,6,6,7415.0,6,0.335,0.335,2.65,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008470062,1080756,881 BROADWAY,10003,Commercial/office,Commercial/office,O6,0,0,31,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008440040,1016094,95 5 AVENUE,10003,Mixed-use,Commercial/office,O6,2,2,6,4400.0,2,0.112,0.112,2.69,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008490057,1016221,28 EAST 21 STREET,10010,Residential,Residential multi-family walk-up,C6,7,7,7,5950.0,7,0.483,0.483,2.69,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008500016,1016244,922 BROADWAY,10010,Mixed-use,Mixed residential/commercial,C7,16,16,19,9023.0,16,1.103,1.103,4.29,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008480029,1016168,41 EAST 19 STREET,10003,Residential,Residential multi-family walk-up,C6,7,7,7,6550.0,7,0.391,0.391,2.78,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008480023,1016164,29 EAST 19 STREET,10003,Commercial/office,Commercial/office,O6,0,0,8,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008490010,1080762,903 BROADWAY,10010,Commercial/office,Commercial/office,O6,0,0,12,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008480006,1016158,5 EAST 19 STREET,10003,Commercial/office,Commercial/office,O5,0,0,5,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008490025,1016207,33 EAST 20 STREET,10003,Commercial/office,Commercial/office,O5,0,0,3,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008490016,1016201,902 BROADWAY,10010,Mixed-use,Commercial/office,O4,4,4,31,3355.0,4,0.276,0.276,3.04,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008490002,1016196,137 5 AVENUE,10010,Commercial/office,Commercial/office,O6,0,0,12,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008750079,1017945,245 PARK AVENUE SOUTH,10003,Mixed-use,Residential multi-family elevator,D8,55,55,63,38713.0,55,3.075,3.075,6.0,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008210038,1015475,142 5 AVENUE,10011,Mixed-use,Commercial/office,O6,11,11,23,43680.0,11,0.372,0.372,3.79,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008200045,1015453,136 5 AVENUE,10011,Commercial/office,Commercial/office,K1,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008770013,1087279,50 GRAMERCY PARK NORTH,10010,Residential,Residential multi-family elevator,D4,21,21,21,65480.0,21,1.448,1.448,3.81,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008510052,1016292,34 EAST 23 STREET,10010,Commercial/office,Commercial/office,O5,0,0,10,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008510041,1016287,304 PARK AVENUE SOUTH,10010,Commercial/office,Commercial/office,O6,0,0,52,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008760010,1017948,1 GRAMERCY PARK WEST,10010,Residential,Residential multi-family elevator,D4,10,10,10,10568.0,10,0.69,0.69,3.01,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008510022,1016282,25 EAST 22 STREET,10010,Commercial/office,Commercial/office,O2,0,0,2,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008750075,1017942,11 GRAMERCY PARK SOUTH,10003,Residential,Residential multi-family walk-up,C0,3,3,3,0,3,0.168,0.168,2.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008770009,1017989,60 GRAMERCY PARK NORTH,10010,Mixed-use,Residential multi-family elevator,D4,149,149,155,183706.0,149,10.275,10.275,8.22,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500039,1016252,268 PARK AVENUE SOUTH,10010,Mixed-use,Mixed residential/commercial,D6,74,74,77,84403.0,74,5.103,5.103,6.75,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008230041,1015535,164 5 AVENUE,10010,Commercial/office,Commercial/office,K2,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500025,1080768,33 EAST 21 STREET,10010,Commercial/office,Commercial/office,O6,0,0,19,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500012,1016242,928 BROADWAY,10010,Commercial/office,Commercial/office,O6,0,0,42,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008480003,1016156,123 5 AVENUE,10003,Commercial/office,Commercial/office,O5,0,0,5,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008210040,1015477,146 5 AVENUE,10011,Mixed-use,Mixed residential/commercial,D7,24,24,25,11610.0,24,0.811,0.811,4.53,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008220054,1015505,22 WEST 21 STREET,10010,Commercial/office,Commercial/office,O6,0,0,14,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500063,1016263,18 EAST 22 STREET,10010,Mixed-use,Mixed residential/commercial,O8,2,2,4,3455.0,2,0.138,0.138,2.58,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008510013,1016280,21 EAST 22 STREET,10010,Mixed-use,Residential multi-family elevator,D4,134,134,135,139276.0,134,9.241,9.241,8.14,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008460013,1016117,15 EAST 17 STREET,10003,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,6,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008460021,1016124,861 BROADWAY,10003,Mixed-use,Mixed residential/commercial,S3,3,3,4,4000.0,3,0.168,0.168,2.94,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008460017,1016121,23 EAST 17 STREET,10003,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,3,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008470024,1016147,874 BROADWAY,10003,Mixed-use,Residential multi-family elevator,D0,23,23,24,37473.0,23,1.286,1.286,4.75,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008460056,1016136,866 BROADWAY,10003,Mixed-use,Mixed residential/commercial,S1,1,1,2,3462.0,1,0.056,0.056,2.34,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008210059,1015482,26 WEST 20 STREET,10011,Mixed-use,Mixed residential/commercial,S4,4,4,5,8000.0,4,0.135,0.135,3.01,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008500056,1016256,32 EAST 22 STREET,10010,Mixed-use,Mixed residential/commercial,S3,3,3,4,7777.0,3,0.207,0.207,2.83,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008510060,1016300,18 EAST 23 STREET,10010,Mixed-use,Mixed residential/commercial,C7,16,16,17,8039.0,16,1.103,1.103,4.29,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008460026,1016128,860 BROADWAY,10003,Commercial/office,Commercial/office,O5,0,0,6,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008780069,1080808,110 EAST 23 STREET,10010,Commercial/office,Commercial/office,O6,0,0,24,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008490009,1016200,11 EAST 20 STREET,10003,Commercial/office,Commercial/office,K2,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008200036,1015450,3 WEST 18 STREET,10011,Commercial/office,Commercial/office,O6,0,0,8,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
