bbl,bin,address_or_label,zipcode,residential_use_type,land_use,building_class,residential_units,residential_capacity_units,total_units,residential_floor_area,estimated_household_capacity,under5_capacity_signal,preschool_age_capacity_signal,hgl_building_opportunity_score,capacity_model_confidence,capacity_model_method,non_residential_flag,mixed_use_flag
1008460066,1016141,14 EAST 18 STREET,10003,Public facility/institution,Public facility/institution,Y1,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008760011,1017949,2 GRAMERCY PARK WEST,10003,Residential,Residential multi-family elevator,D3,7,7,7,11928.0,7,0.391,0.391,2.78,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,False
1008490003,1016197,139 5 AVENUE,10010,Commercial/office,Commercial/office,O5,0,0,6,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008480043,1016176,242 PARK AVENUE SOUTH,10003,Commercial/office,Commercial/office,O6,0,0,13,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008480061,1016184,894 BROADWAY,10003,Commercial/office,Commercial/office,O6,0,0,40,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008500075,1016266,159 5 AVENUE,10010,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,6,0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008470034,1016150,45 EAST 18 STREET,10003,Mixed residential/commercial,Mixed residential/commercial,K4,0,0,1,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008770074,1078734,4 LEXINGTON AVENUE,10010,Mixed-use,Residential multi-family elevator,D4,166,166,167,117800.0,166,11.448,11.448,8.31,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008470016,1080752,873 BROADWAY,10003,Mixed-use,Commercial/office,O6,11,11,44,30200.0,11,0.615,0.615,3.98,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008190044,1015421,126 5 AVENUE,10011,Mixed-use,Commercial/office,O6,11,11,33,19301.0,11,0.372,0.372,3.79,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008440023,1016087,37 UNION SQUARE,10003,Commercial/office,Commercial/office,O5,0,0,5,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008740071,1017904,108 EAST 19 STREET,10003,Transportation/utility,Transportation/utility,U7,0,0,0,0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008490001,1016195,135 5 AVENUE,10010,Commercial/office,Commercial/office,O6,0,0,10,0.0,0,0.0,0.0,0.0,None,PLUTO/MapPLUTO or land-use classifies this as non-residential; residential capacity set to 0.,True,False
1008200053,1015457,12 WEST 19 STREET,10011,Mixed-use,Mixed residential/commercial,K4,4,4,6,2350.0,4,0.135,0.135,3.01,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
1008770084,1018008,102 EAST 22 STREET,10010,Mixed-use,Residential multi-family elevator,D4,92,92,94,67951.0,92,6.344,6.344,7.31,High,"PLUTO/MapPLUTO UnitsRes available; capacity equals residential units, not occupied residents.",False,True
